w,频数,左信息熵,右信息熵,右右信息熵,凝聚度
爸爸,5,1.3321790402101223,1.6094379124341005,2.941616952644223,33814.399999999994
巡洋艦,5,1.3321790402101223,1.6094379124341005,2.941616952644223,15028.62222222222
仇恨,47,1.4588400358275873,1.3856053167494184,2.8444453525770057,14389.106382978725
湖南省,6,1.7917594692280547,1.7917594692280547,3.5835189384561095,13525.759999999998
顛覆,51,1.735774436685489,1.6923201894993372,3.4280946261848264,11620.851752021563
咖啡,109,1.7569154161177063,1.9644103243540147,3.721325740471721,6204.477064220183
鼓勵,76,1.5681073371328327,1.785898156613999,3.3540054937468318,5523.0913389211255
蔣介石,10,1.5047882836811908,2.3025850929940455,3.807373376675236,4796.368794326241
癥狀,53,1.3812870862950852,1.3812870862950852,2.7625741725901705,4696.444444444444
圍繞,42,1.3633979827607177,1.4431836273045657,2.806581610065283,4345.791921664627
操縱,79,1.3988003541558438,1.3988003541558438,2.7976007083116876,4165.179075387854
複雜,98,2.067151665575268,2.067151665575268,4.134303331150536,3904.5731118180743
必須,66,1.6954764688227688,1.7999961329684955,3.4954726017912643,3687.6245869134173
媽媽,47,1.562772675948449,1.7079066911728809,3.27067936712133,3597.2765957446813
依賴,79,1.4983283515144061,1.722542389125081,3.220870740639487,3504.7725006559963
矽谷,132,1.7558060396574244,1.7709970139064546,3.526803053563879,3136.4632141100415
虛擬,63,1.811427701093284,1.544359579264214,3.355787280357498,3068.722558340536
煤礦,7,1.945910149055313,1.945910149055313,3.891820298110626,3022.998722860792
丈夫,88,1.669882600869089,1.450004873687916,3.119887474557005,2953.222707423581
組織,141,2.3021434593633696,2.232173830538737,4.5343172899021065,2933.5981541301335
腐敗,96,1.428161721252066,1.428161721252066,2.856323442504132,2910.0693859255935
譴責,53,1.9146424078954758,1.852456806650111,3.7670992145455866,2468.204379562044
殘酷,101,1.5621118498726418,1.460258540666962,3.0223703905396038,2280.941962198624
少數民族,10,1.8343719702816235,2.3025850929940455,4.136957063275669,2269.422818791946
破壞,147,2.041175743663317,1.7945944624478583,3.8357702061111754,2228.8210922787193
兒童,93,1.487803302993509,1.502709693973293,2.990512996966802,2211.412538237052
什麼,227,1.7313806670739746,1.6174298214728107,3.3488104885467855,2174.1591276023228
拒絕,117,2.03140142477201,1.8681194949161932,3.899520919688203,2172.7084408808832
林鄭月娥,15,1.5802363404761086,2.488327743368588,4.068564083844697,2146.9460317460316
穆斯林,7,1.7478680974667573,1.4750763110546947,3.2229444085214523,2146.9460317460316
擺脫,102,1.3821727725367752,1.3821727725367752,2.7643455450735503,2053.017142857143
攝影師,107,1.3376525106414137,1.842937371236514,3.1805898818779275,2030.894894894895
缺乏,175,2.2617279872769447,2.4669552629648015,4.728683250241746,1984.413145539906
餐廳,98,1.738782682306552,1.6735218400583542,3.4123045223649062,1866.9358873239435
朝鮮,148,1.8737607512075765,2.030333375599597,3.9040941268071734,1851.8154301572617
哈佛,45,1.4620537785896908,1.4620537785896908,2.9241075571793815,1806.3247863247864
購買,163,1.8685388083357781,1.7301656846181759,3.598704492953954,1780.1651056133326
納瓦爾尼,95,2.0646494872693353,1.7182768785807503,3.7829263658500856,1668.6325740851364
迅速,110,1.6667009816761853,1.6667009816761853,3.3334019633523706,1610.2095238095235
航班,85,1.6480128717595681,1.6757113679734914,3.3237242397330595,1557.0010834236184
干預,117,1.5545277940486313,1.766921741971122,3.3214495360197533,1526.138368661639
紀念,64,1.7667637292053069,1.470046471211211,3.236810200416518,1500.2056081245016
駭客,68,1.8564621934010737,1.972702477554722,3.8291646709557954,1483.0877192982455
拋售,56,1.3782247791211932,1.3782247791211932,2.7564495582423865,1478.91783817557
健康,411,2.7439938533603714,2.1080060681840256,4.851999921544397,1465.772124663819
紐約,188,1.9533380652847547,2.2017145796865294,4.155052644971284,1449.8055099434412
伊朗,157,1.594440664839406,2.2776939296483754,3.8721345944877816,1448.015928865614
基督徒,11,1.893788232391138,2.1458417525947544,4.0396299849858925,1429.7843551797039
拍攝,52,1.584726874909497,1.520284623547158,3.105011498456655,1427.1153315477643
宗教,12,2.4849066497880012,2.1383330595080277,4.623239709296029,1405.273766233766
談判,120,1.8874488869610149,1.8274370999536647,3.7148859869146795,1368.2885130920067
包括,365,2.0113309079351507,2.6402330538427643,4.651563961777915,1355.2865731462925
烏克蘭,394,2.0379266488037455,2.241705650679352,4.279632299483097,1338.4442033353425
花滑,36,1.3862943611198906,1.3862943611198906,2.772588722239781,1328.2252045826513
醫療,17,1.3972047975232544,1.3972047975232544,2.794409595046509,1319.662075298439
聯繫,251,2.279053976593576,1.7432481404514493,4.022302117045025,1290.6259541984732
貿易,304,2.4070384995585945,2.515400384699076,4.92243888425767,1273.6120527306969
衝突,360,2.549664947657335,2.138378026128595,4.68804297378593,1265.0223944964616
波音,106,1.5336026199899324,1.5526703712251244,3.086272991215057,1242.2285991543633
奧本海默,53,1.3857668653329982,1.453737826986086,2.839504692319084,1240.8954128440369
奧爾特曼,141,1.8855856262007487,2.2690287473615696,4.154614373562318,1240.8954128440366
基礎設施,182,2.033889109113028,1.488142720683734,3.522031829796762,1240.8954128440366
